ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2022,"2022",3167,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2505177,0.2521138326746633
0,"White Alone",1,"Hispanic or Latino",2022,"2022",14970,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1432724,0.14418523673376143
1,"Black or African American Alone",0,"Not Hispanic or Latino",2022,"2022",3797,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",753155,0.07579536042686247
1,"Black or African American Alone",1,"Hispanic or Latino",2022,"2022",2030,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",27838,0.002801536527757231
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2022,"2022",1293,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",18662,0.0018780901889864734
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2022,"2022",3846,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",92434,0.009302292815816937
3,"Asian Alone",0,"Not Hispanic or Latino",2022,"2022",4734,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1452646,0.14619012971120163
3,"Asian Alone",1,"Hispanic or Latino",2022,"2022",1938,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",20988,0.002112172161957352
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2022,"2022",770,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",20597,0.0020728230426832277
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2022,"2022",565,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2803,0.00028208588574263663
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2022,"2022",2891,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",49953,0.005027126739387059
5,"Some Other Race Alone",1,"Hispanic or Latino",2022,"2022",17272,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2204003,0.22180454457168333
6,"Two or More Races",0,"Not Hispanic or Latino",2022,"2022",6019.111645417453,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",298906,0.030081043083763307
6,"Two or More Races",1,"Hispanic or Latino",2022,"2022",15937.56019596475,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1056804,0.10635372543573363
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",3019,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2550832,0.25458332564010566
0,"White Alone",1,"Hispanic or Latino",2021,"2021",15708,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1831247,0.18276583927458434
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",3654,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",766190,0.07646885340633666
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",1817.9999999999998,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",29023,0.002896612501353592
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",1218,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",19571,0.00195326476463464
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",3889,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",79753,0.007959671185627022
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",4475,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",1458140,0.14552825527077584
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",1820,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",20421,0.0020380981941956968
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",901,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",21433,0.002139099877390743
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",618,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2950,0.0002944219025942562
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",2941,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",43451,0.00433658511512645
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",18277,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2158488,0.21542581141927825
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",5549.047125408109,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",281399,0.02808475558241393
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",13990.694228664994,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",756737,0.07552540586558293
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",2899,"Los Angeles County, CA","05000US06037","los-angeles-county-ca",2603280,0.25927322466740804
